,lat,lon,max_temp,humidity,wind_speed,cloudiness,country,date,name
80,-23.7,133.8833,72.95,18,10.36,11,AU,1665364960,Alice Springs
81,51.65,-103.5343,48.22,47,8.28,4,CA,1665364960,Foam Lake
82,-21.3585,55.7679,67.59,79,10.13,35,RE,1665364960,Saint-Philippe
83,27.9167,96.1667,72.46,98,2.59,99,IN,1665364961,Tezu
84,61.6886,27.2723,35.71,93,2.3,0,FI,1665364961,Mikkeli
85,5.4112,100.3354,80.62,85,6.91,20,MY,1665364855,George Town
86,65.282,-126.8329,53.64,62,8.05,75,CA,1665364961,Norman Wells
87,49.9333,116.8667,36.27,40,6.98,10,RU,1665364962,Dauriya
88,44.3334,-76.1661,49.26,74,7.58,70,CA,1665364962,Gananoque
89,10.2849,22.7882,70.59,86,3.78,24,CF,1665364962,Birao
90,-0.6,73.0833,80.69,77,15.68,100,MV,1665364963,Hithadhoo
91,29.5958,-90.7195,66.78,65,0.0,0,US,1665364294,Houma
92,3.0707,172.7902,81.46,76,13.69,27,KI,1665364963,Butaritari
93,14.2,24.6667,74.39,26,9.08,70,SD,1665364963,Kutum
94,-34.6833,150.8667,59.45,65,4.97,98,AU,1665364964,Kiama
95,40.5982,-124.1573,53.71,88,6.91,100,US,1665364843,Fortuna
96,-26.152,26.1597,63.73,37,7.72,49,ZA,1665364964,Lichtenburg
97,50.3643,108.7512,34.77,38,3.53,4,RU,1665364964,Krasnyy Chikoy
98,59.7035,30.7861,40.91,96,5.23,9,RU,1665364965,Nikolskoye
99,-23.1203,-134.9692,71.55,73,13.82,1,PF,1665364965,Rikitea
100,65.75,150.85,16.39,78,10.16,100,RU,1665364965,Zyryanka
101,-33.6971,-53.4616,45.77,76,4.94,0,UY,1665364966,Chui
102,-33.8667,121.9,58.66,81,12.44,89,AU,1665364900,Esperance
103,55.1001,-105.2842,59.25,51,5.75,75,CA,1665364966,La Ronge
104,-45.8667,-67.5,51.66,43,6.91,0,AR,1665364966,Comodoro Rivadavia
105,28.45,79.8,68.18,97,10.4,100,IN,1665364967,Barkhera Kalān
106,17.1561,-89.0714,75.34,94,3.44,75,BZ,1665364967,San Ignacio
107,-2.5744,150.7967,84.34,58,12.19,99,PG,1665364967,Kavieng
108,61.3614,63.5842,47.46,84,12.15,100,RU,1665364968,Sovetskiy
109,-10.7073,22.2247,63.86,29,3.6,0,AO,1665364968,Luau
110,-23.7781,-45.3581,70.14,98,5.93,100,BR,1665364968,Ilhabela
111,4.8845,-1.7554,75.87,91,6.6,100,GH,1665364969,Takoradze
112,-38.5473,-58.7368,43.54,74,5.68,0,AR,1665364690,Necochea
113,12.1628,6.6614,76.64,66,7.25,24,NG,1665364969,Gusau
114,42.097,-79.2353,46.76,53,8.05,0,US,1665364969,Jamestown
115,18.6853,12.9164,81.14,20,5.37,0,NE,1665364970,Bilma
116,48.1128,-98.8651,48.18,78,5.75,0,US,1665364970,Devils Lake
117,21.95,108.6167,65.61,53,15.99,98,CN,1665364970,Qinzhou
118,22.2855,114.1577,73.92,62,20.0,24,HK,1665364817,Hong Kong
119,10.5669,72.642,80.6,78,6.11,100,IN,1665364971,Kavaratti
120,-46.1333,167.6833,61.32,61,10.36,100,NZ,1665364971,Tuatapere
121,51.2585,-80.6094,39.18,81,9.22,40,CA,1665364971,Moose Factory
122,61.2767,108.0108,35.08,93,6.02,100,RU,1665364972,Yerbogachën
123,70.4692,-68.5914,17.83,79,12.66,100,CA,1665364873,Clyde River
124,-21.3667,55.6167,66.58,76,7.47,27,RE,1665364972,Saint-Joseph
125,36.6167,101.7667,41.14,36,1.68,100,CN,1665364972,Xining
126,-3.8004,102.2655,77.32,81,2.13,100,ID,1665364973,Bengkulu
127,-22.9661,-42.0278,69.89,97,14.58,100,BR,1665364973,Arraial do Cabo
128,4.9333,-52.3333,80.64,83,0.0,20,GF,1665364974,Cayenne
129,-27.1578,-48.5531,64.09,80,17.16,100,BR,1665364974,Porto Belo
130,37.1041,-113.5841,81.14,22,4.61,0,US,1665364699,Saint George
131,34.6391,-120.4579,61.36,87,9.22,100,US,1665364724,Lompoc
132,44.4122,40.7936,55.09,91,4.61,74,RU,1665364974,Mostovskoy
133,-46.2817,169.8464,60.91,54,7.4,100,NZ,1665364975,Kaitangata
134,45.5234,-122.6762,79.38,44,4.61,20,US,1665364535,Portland
135,41.3712,-73.414,48.99,79,0.0,20,US,1665364975,Bethel
136,52.85,-102.3842,51.1,55,5.01,60,CA,1665364975,Hudson Bay
137,28.131,82.2973,66.65,94,5.37,100,NP,1665364976,Tulsīpur
138,-20.4081,57.7,70.09,78,11.5,20,MU,1665364976,Mahébourg
139,65.85,74.4859,42.24,95,13.42,100,RU,1665364976,Pangody
140,41.1875,61.4036,50.41,44,14.18,0,TM,1665364977,Gazojak
141,54.9109,71.2728,40.96,84,7.74,96,RU,1665364977,Isil'kul'
142,30.15,62.6,59.14,22,6.22,0,AF,1665364977,Rūdbār
143,32.2163,-80.7526,71.17,87,10.36,0,US,1665364718,Hilton Head
144,71.6872,128.8694,13.73,96,9.33,98,RU,1665364977,Tiksi
145,-0.8833,131.25,80.55,77,4.38,100,ID,1665364978,Sorong
146,-10.6167,150.6667,83.52,74,14.54,91,PG,1665364978,Samarai
147,18.2164,42.5053,57.45,21,0.0,0,SA,1665364966,Abhā
148,68.2191,-135.0107,33.15,92,19.53,100,CA,1665364979,Aklavik
149,9.4092,45.064,72.3,59,3.87,0,SO,1665364979,Oodweyne
150,70.0744,29.7487,44.76,65,20.71,100,NO,1665364979,Vadsø
151,-19.8436,34.8389,70.43,91,3.33,0,MZ,1665364980,Beira
152,-0.9492,100.3543,75.25,73,1.1,100,ID,1665364980,Padang
153,-24.4167,150.5,73.92,65,11.05,93,AU,1665364981,Biloela
154,39.1834,-84.5333,48.65,66,0.0,0,US,1665364981,Hamilton
155,-41.4122,175.5153,60.53,54,15.73,0,NZ,1665364981,Waipawa
156,55.7435,-97.8558,46.56,66,5.75,40,CA,1665364982,Thompson
157,48.2325,-101.2963,51.8,58,8.05,0,US,1665364754,Minot
158,-25.2406,130.9889,75.56,15,14.2,10,AU,1665364982,Yulara
159,-19.5667,18.1167,69.37,23,4.61,0,NA,1665364983,Grootfontein
160,-9.8756,-56.0861,74.35,77,3.13,92,BR,1665364983,Alta Floresta
161,7.7669,-72.225,69.98,99,2.19,100,VE,1665364984,San Cristobal
162,31.1783,115.0319,55.9,40,5.19,74,CN,1665364984,Macheng
163,52.1667,-103.5343,53.65,44,6.53,8,CA,1665364984,Kelvington
164,-5.1989,-35.4608,76.95,83,13.42,19,BR,1665364985,Touros
165,71.2906,-156.7887,32.02,86,6.91,100,US,1665364985,Barrow
166,60.1432,-45.2371,39.81,96,9.1,100,GL,1665364986,Nanortalik
